['(0,3.0517578125e-05)', '(0.480010986328125,0.48004150390625)']
['(0,3.0517578125e-05)', '(0.48004150390625,0.480072021484375)']
['(0,3.0517578125e-05)', '(0.480072021484375,0.4801025390625)']
['(0,3.0517578125e-05)', '(0.4801025390625,0.480133056640625)']
['(0,3.0517578125e-05)', '(0.480133056640625,0.48016357421875)']
['(0,3.0517578125e-05)', '(0.48016357421875,0.480194091796875)']
['(0,3.0517578125e-05)', '(0.480194091796875,0.480224609375)']
['(0,3.0517578125e-05)', '(0.480224609375,0.480255126953125)']
['(0,3.0517578125e-05)', '(0.480255126953125,0.48028564453125)']
['(0,3.0517578125e-05)', '(0.48028564453125,0.480316162109375)']
['(0,3.0517578125e-05)', '(0.480316162109375,0.4803466796875)']
['(3.0517578125e-05,6.103515625e-05)', '(0.48028564453125,0.480316162109375)']
['(3.0517578125e-05,6.103515625e-05)', '(0.480316162109375,0.4803466796875)']
['(0,3.0517578125e-05)', '(0.4803466796875,0.480377197265625)']
['(0,3.0517578125e-05)', '(0.480377197265625,0.48040771484375)']
['(3.0517578125e-05,6.103515625e-05)', '(0.4803466796875,0.480377197265625)']
['(3.0517578125e-05,6.103515625e-05)', '(0.480377197265625,0.48040771484375)']
['(0,3.0517578125e-05)', '(0.48040771484375,0.480438232421875)']
['(0,3.0517578125e-05)', '(0.480438232421875,0.48046875)']
['(3.0517578125e-05,6.103515625e-05)', '(0.48040771484375,0.480438232421875)']
['(3.0517578125e-05,6.103515625e-05)', '(0.480438232421875,0.48046875)']
['(0,3.0517578125e-05)', '(0.48046875,0.480499267578125)']
['(0,3.0517578125e-05)', '(0.480499267578125,0.48052978515625)']
['(3.0517578125e-05,6.103515625e-05)', '(0.48046875,0.480499267578125)']
['(3.0517578125e-05,6.103515625e-05)', '(0.480499267578125,0.48052978515625)']
['(0,3.0517578125e-05)', '(0.48052978515625,0.480560302734375)']
['(0,3.0517578125e-05)', '(0.480560302734375,0.4805908203125)']
['(3.0517578125e-05,6.103515625e-05)', '(0.48052978515625,0.480560302734375)']
