[18.9839,18.9839]
[16.4122,16.4122]
[20.4089,20.4089]
[18.387,18.387]
[22.0634,22.0634]
[7.66865,7.66865]
[26.3322,26.3322]
[22.0634,22.0634]
[22.0634,22.0634]
[22.0634,22.0634]
[26.3322,26.3322]
[26.3322,26.3322]
[22.0634,22.0634]
[22.0634,22.0634]
[26.3322,26.3322]
[26.3322,26.3322]
[22.0634,22.0634]
[22.0634,22.0634]
[22.0634,22.0634]
[22.0634,22.0634]
[22.0634,22.0634]
[60.8599,60.8599]
[68.2377,68.2377]
[22.0634,22.0634]
[0.974912,0.975624]
[0.97131,0.971893]
[0.97131,0.971893]
[0.97131,0.971893]
[1.0778,1.07855]
[1.0778,1.07855]
[22.0634,22.0634]
[7.47227,7.47227]
[12.2001,12.2001]
[12.2001,12.2001]
[12.2001,12.2001]
[229.548,229.548]
[229.548,229.548]
[229.548,229.548]
[229.548,229.548]
[229.548,229.548]
[229.548,229.548]
[244.398,244.398]
[244.398,244.398]
[244.398,244.398]
[12.2001,12.2001]
[22.0634,22.0634]
[1.0778,1.07855]
[0.97131,0.971893]
[244.398,244.398]
[16.0512,16.1806]
[16.0512,16.1806]
[16.0512,16.1806]
[21.8282,22.105]
[5.84608,6.08974]
[21.6419,21.7827]
[9.85408,10.0116]
[9.85408,10.0116]
[9.85408,10.0116]
[16.0512,16.1806]
[244.398,244.398]
[244.398,244.398]
[12.2001,12.2001]
[22.0634,22.0634]
[1.07826,1.07855]
[1.07827,1.07855]
[1.07827,1.07855]
[0.971767,0.971893]
[0.971767,0.971893]
[0.247552,9.37832]
[0.247552,9.37832]
[0.0959733,1.77868]
[0.0959716,1.77868]
[0.0941905,1.77868]
[0.189005,2.03822]
[0,2.03822]
[5.38718,5.39046]
[14.7328,14.8505]
[7.94739,7.96914]
[0.192202,1.92826]
[0.192951,1.86937]
